date,rate
8/1/1982,15.06
9/1/1982,14.34
10/1/1982,13.54
11/1/1982,13.08
12/1/1982,13.02
1/1/1983,12.90
2/1/1983,13.02
3/1/1983,12.71
4/1/1983,12.44
5/1/1983,12.30
6/1/1983,12.54
7/1/1983,12.73
8/1/1983,13.01
9/1/1983,12.91
10/1/1983,12.79
11/1/1983,12.93
12/1/1983,13.07
1/1/1984,12.92
2/1/1984,12.88
3/1/1984,13.33
4/1/1984,13.59
5/1/1984,14.13
6/1/1984,14.40
7/1/1984,14.32
8/1/1984,13.78
9/1/1984,13.56
10/1/1984,13.33
11/1/1984,12.88
12/1/1984,12.74
1/1/1985,12.64
2/1/1985,12.66
3/1/1985,13.13
4/1/1985,12.89
5/1/1985,12.47
6/1/1985,11.70
7/1/1985,11.69
8/1/1985,11.76
9/1/1985,11.75
10/1/1985,11.69
11/1/1985,11.29
12/1/1985,10.89
1/1/1986,10.75
2/1/1986,10.40
3/1/1986,9.79
4/1/1986,9.51
5/1/1986,9.69
6/1/1986,9.73
7/1/1986,9.52
8/1/1986,9.44
9/1/1986,9.55
10/1/1986,9.54
11/1/1986,9.37
12/1/1986,9.23
1/1/1987,9.04
2/1/1987,9.03
3/1/1987,8.99
4/1/1987,9.35
5/1/1987,9.82
6/1/1987,9.87
7/1/1987,9.92
8/1/1987,10.14
9/1/1987,10.64
10/1/1987,10.97
11/1/1987,10.54
12/1/1987,10.59
1/1/1988,10.37
2/1/1988,9.89
3/1/1988,9.86
4/1/1988,10.15
5/1/1988,10.37
6/1/1988,10.36
7/1/1988,10.47
8/1/1988,10.58
9/1/1988,10.28
10/1/1988,9.91
11/1/1988,9.91
12/1/1988,10.03
1/1/1989,10.05
2/1/1989,10.05
3/1/1989,10.18
4/1/1989,10.14
5/1/1989,9.97
6/1/1989,9.50
7/1/1989,9.34
8/1/1989,9.36
9/1/1989,9.41
10/1/1989,9.34
11/1/1989,9.32
12/1/1989,9.28
1/1/1990,9.43
2/1/1990,9.64
3/1/1990,9.73
4/1/1990,9.82
5/1/1990,9.87
6/1/1990,9.67
7/1/1990,9.65
8/1/1990,9.84
9/1/1990,10.02
10/1/1990,10.03
11/1/1990,9.85
12/1/1990,9.63
1/1/1991,9.62
2/1/1991,9.36
3/1/1991,9.43
4/1/1991,9.33
5/1/1991,9.32
6/1/1991,9.45
7/1/1991,9.42
8/1/1991,9.16
9/1/1991,9.03
10/1/1991,8.99
11/1/1991,8.93
12/1/1991,8.75
1/1/1992,8.64
2/1/1992,8.75
3/1/1992,8.81
4/1/1992,8.77
5/1/1992,8.71
6/1/1992,8.63
7/1/1992,8.44
8/1/1992,8.29
9/1/1992,8.26
10/1/1992,8.41
11/1/1992,8.51
12/1/1992,8.35
1/1/1993,8.24
2/1/1993,8.01
3/1/1993,7.83
4/1/1993,7.76
5/1/1993,7.78
6/1/1993,7.66
7/1/1993,7.50
8/1/1993,7.19
9/1/1993,6.98
10/1/1993,6.97
